"","id","tipo","id_color","id_preset","count_visit","count_share","count_like","title","audio","duration","filetype","wave","wave_gris","art","thumb_art","download","rrss_img","tags"
"12","1479","Circles","104","104","918","0","6","BB ME ESPERA","https://orgasmsoundlibrary.com/upload/orgasmos/bb-me-espera/SAOL7-hUjROb2aSl1ftn5dJ7kDlqKib3.mp3","32.02612244897959","mp3","https://orgasmsoundlibrary.com/upload/orgasmos/bb-me-espera/wave_id_1479.png","https://orgasmsoundlibrary.com/upload/orgasmos/bb-me-espera/wave_id_1479_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/bb-me-espera/art_id_1479.png","https://orgasmsoundlibrary.com/upload/orgasmos/bb-me-espera/thumb_art_id_1479.png","https://orgasmsoundlibrary.com/upload/orgasmos/bb-me-espera/libreriadeorgasmos_id_1479.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/bb-me-espera/libreriadeorgasmos_rrss_id_1479.jpg","Impulse, Ecstasy, Sofa, Thrilling, Toy, Stifled, Alone, "
"13","1478","Circles","164","164","897","1","3","MAÑANERO  TU Y YO","https://orgasmsoundlibrary.com/upload/orgasmos/mananero-tu-y-yo/uahWxIUrB5zAuUvzuGnIUmdJE4VXik8T.mp3","313.9918333333333","mp3","https://orgasmsoundlibrary.com/upload/orgasmos/mananero-tu-y-yo/wave_id_1478.png","https://orgasmsoundlibrary.com/upload/orgasmos/mananero-tu-y-yo/wave_id_1478_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/mananero-tu-y-yo/art_id_1478.png","https://orgasmsoundlibrary.com/upload/orgasmos/mananero-tu-y-yo/thumb_art_id_1478.png","https://orgasmsoundlibrary.com/upload/orgasmos/mananero-tu-y-yo/libreriadeorgasmos_id_1478.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/mananero-tu-y-yo/libreriadeorgasmos_rrss_id_1478.jpg","Loving, Love, Casual, Ecstasy, Sweats, Bed, Sensual, Loving, Erotic, Legs, Neck, G-spot, Clitoris, Breasts, Nipples, Clitoris, Breasts, Penetration, Stifled, Couple, "
"14","1477","Circles","94","94","431","1","0","LONG OVERDUE PLEASURE","https://orgasmsoundlibrary.com/upload/orgasmos/long-overdue-pleasure/4omN3vhCJZ8edo6ttUXwcHUYXbqDAuz8.wav","22.941315192743765","wav","https://orgasmsoundlibrary.com/upload/orgasmos/long-overdue-pleasure/wave_id_1477.png","https://orgasmsoundlibrary.com/upload/orgasmos/long-overdue-pleasure/wave_id_1477_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/long-overdue-pleasure/art_id_1477.png","https://orgasmsoundlibrary.com/upload/orgasmos/long-overdue-pleasure/thumb_art_id_1477.png","https://orgasmsoundlibrary.com/upload/orgasmos/long-overdue-pleasure/libreriadeorgasmos_id_1477.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/long-overdue-pleasure/libreriadeorgasmos_rrss_id_1477.jpg","Erotic, Enjoyment, Heat, Floor, Fun, Neck, Nipples, Massage, Intense, Male stranger, "
"15","1476","Circles","35","35","378","0","2","LAZY SATURDAY IN BED","https://orgasmsoundlibrary.com/upload/orgasmos/lazy-saturday-in-bed-/iXHgzJbbl5RBaMn2whFzG08NdiyKR3T-.wav","16.068208616780044","wav","https://orgasmsoundlibrary.com/upload/orgasmos/lazy-saturday-in-bed-/wave_id_1476.png","https://orgasmsoundlibrary.com/upload/orgasmos/lazy-saturday-in-bed-/wave_id_1476_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/lazy-saturday-in-bed-/art_id_1476.png","https://orgasmsoundlibrary.com/upload/orgasmos/lazy-saturday-in-bed-/thumb_art_id_1476.png","https://orgasmsoundlibrary.com/upload/orgasmos/lazy-saturday-in-bed-/libreriadeorgasmos_id_1476.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/lazy-saturday-in-bed-/libreriadeorgasmos_rrss_id_1476.jpg","Spicy, Play, Impulse, Blushing, Bed, Sensual, Anus, Nipples, Anal, Deep, Male stranger, "
"16","1475","Circles","190","190","318","1","3","PLACER PROPIO","https://orgasmsoundlibrary.com/upload/recoded/1475/7QkA5qMlONOR7OGvxps7YbHB904GGKoC.mp3","22.22798185941043","mp3","https://orgasmsoundlibrary.com/upload/recoded/1475/wave_id_1475.png","https://orgasmsoundlibrary.com/upload/recoded/1475/wave_id_1475_gris.png","https://orgasmsoundlibrary.com/upload/recoded/1475/art_id_1475.png","https://orgasmsoundlibrary.com/upload/recoded/1475/thumb_art_id_1475.png","https://orgasmsoundlibrary.com/upload/recoded/1475/libreriadeorgasmos_id_1475.jpg","https://orgasmsoundlibrary.com/upload/recoded/1475/libreriadeorgasmos_rrss_id_1475.jpg","Love, Improvised, Ecstasy, Trembling, Bedroom, Cold, Anus, Clitoris, Hand, Alone, "
"17","1472","Circles","164","164","515","1","2","JODER, QUÉ LARGO","https://orgasmsoundlibrary.com/upload/recoded/1472/CzeaLS7IoQYysFkIslp-DwI0BV-3Czz8.mp3","45.207791666666665","mp3","https://orgasmsoundlibrary.com/upload/recoded/1472/wave_id_1472.png","https://orgasmsoundlibrary.com/upload/recoded/1472/wave_id_1472_gris.png","https://orgasmsoundlibrary.com/upload/recoded/1472/art_id_1472.png","https://orgasmsoundlibrary.com/upload/recoded/1472/thumb_art_id_1472.png","https://orgasmsoundlibrary.com/upload/recoded/1472/libreriadeorgasmos_id_1472.jpg","https://orgasmsoundlibrary.com/upload/recoded/1472/libreriadeorgasmos_rrss_id_1472.jpg","Play, Euphoric, Home, Relief, G-spot, Clitoris, Hand, Toy, Intense, Alone, "
"18","1471","Circles","49","49","467","3","8","MIMI STRIPTEASE MOBILHOME","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-striptease-mobilhome/BvjcPFI0Yee2mGNxrb0IhUraXLdiU6qa.ogg","108.82902083333333","ogg","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-striptease-mobilhome/wave_id_1471.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-striptease-mobilhome/wave_id_1471_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-striptease-mobilhome/art_id_1471.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-striptease-mobilhome/thumb_art_id_1471.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-striptease-mobilhome/libreriadeorgasmos_id_1471.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-striptease-mobilhome/libreriadeorgasmos_rrss_id_1471.jpg","Loving, Passionate, Play, Scheduled, Heat, Sofa, Thrilling, Loving, Erotic, Neck, Clitoris, Breasts, Nipples, Clitoris, Breasts, Penetration, Hand, Shy, Couple, "
"19","1469","Circles","154","154","348","1","8","MIMI SAINT VALENTIN SUR LE CANAPÉ","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-saint-valentin-sur-le-canape/m6EYPsSxo0IApoeUFbx_Qwl9BnfIpjn5.ogg","24.266291666666667","ogg","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-saint-valentin-sur-le-canape/wave_id_1469.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-saint-valentin-sur-le-canape/wave_id_1469_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-saint-valentin-sur-le-canape/art_id_1469.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-saint-valentin-sur-le-canape/thumb_art_id_1469.png","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-saint-valentin-sur-le-canape/libreriadeorgasmos_id_1469.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/mimi-saint-valentin-sur-le-canape/libreriadeorgasmos_rrss_id_1469.jpg","Loving, Passionate, Love, Scheduled, Trembling, Shivering, Sofa, Carnal, Loving, Hot, Anus, Neck, Clitoris, Clitoris, Penetration, Liberating, Couple, "
"20","1467","Particles","200","02","275","0","0","SOLO IN MY BEDROOM","https://orgasmsoundlibrary.com/upload/recoded/1467/OeqjYEV0frvzsxkPjo5KjBU5gwDLmlO3.mp3","28.119354166666668","mp3","https://orgasmsoundlibrary.com/upload/recoded/1467/wave_id_1467.png","https://orgasmsoundlibrary.com/upload/recoded/1467/wave_id_1467_gris.png","https://orgasmsoundlibrary.com/upload/recoded/1467/art_id_1467.png","https://orgasmsoundlibrary.com/upload/recoded/1467/thumb_art_id_1467.png","https://orgasmsoundlibrary.com/upload/recoded/1467/libreriadeorgasmos_id_1467.jpg","https://orgasmsoundlibrary.com/upload/recoded/1467/libreriadeorgasmos_rrss_id_1467.jpg","Passionate, Ecstasy, Casual, Heat, Out of control, Trembling, Bed, Thrilling, Impulsive, Instinctive, Sensual, Anus, Hand, Loud, Male stranger, "
"21","1466","Circles","112","112","224","0","1","PLACER","https://orgasmsoundlibrary.com/upload/orgasmos/placer/znMQilIvL_1slyiLuBkDes7HUJAJco6E.wav","38.638","wav","https://orgasmsoundlibrary.com/upload/orgasmos/placer/wave_id_1466.png","https://orgasmsoundlibrary.com/upload/orgasmos/placer/wave_id_1466_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/placer/art_id_1466.png","https://orgasmsoundlibrary.com/upload/orgasmos/placer/thumb_art_id_1466.png","https://orgasmsoundlibrary.com/upload/orgasmos/placer/libreriadeorgasmos_id_1466.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/placer/libreriadeorgasmos_rrss_id_1466.jpg","Sweats, Bedroom, Erotic, Hand, Loud, Alone, "
